sitename,address,city,dist,lat,lon
PGO 土城中央店站,新北市土城區中央路二段42號(近員和公園),新北市,土城區,24.9798146,121.4425462
台北捷運永寧站,新北市土城區中央路三段捷運站1號出口(近中央路三段98巷),新北市,土城區,24.9655289,121.4324514
全家土城頂埔店站,新北市土城區中央路四段262號(近新北市土城區頂埔國民小學),新北市,土城區,24.9569388,121.4147973
台亞土城工業區加油站,新北市土城區中央路四段8號(近中央路四段/中興路口),新北市,土城區,24.9628027,121.4243798
台灣聯通土城中一場站,新北市土城區中華路一段50號(近土城區中華路一段/裕民路口),新北市,土城區,24.9889533,121.4459801
全家土城新亞店站,新北市土城區亞洲路57號(近大安路/亞洲路口),新北市,土城區,24.97116,121.4333609
台亞土城城林橋加油站,新北市土城區亞洲路9號 (近亞洲路/員安路口),新北市,土城區,24.972205,121.434537
文藻美語土城站,新北市土城區延和路42-1號(近安和國小),新北市,土城區,24.9887023,121.4653685
7-ELEVEN 城運店站,新北市土城區承天路10號(近承天路/承天路8巷口),新北市,土城區,24.9646093,121.4375939
Gogoro 土城明德服務中心站,新北市土城區明德路二段129號(近新北市立新北高工),新北市,土城區,24.9821919,121.4496772
宏佳騰土城明德店站,新北市土城區明德路二段62號(近明德路二/海山路口),新北市,土城區,24.9831786,121.4484579
宜舍土城金城站,新北市土城區金城路二段與明德路一段交叉口(近清水路/明德路一段),新北市,土城區,24.9860261,121.464647
中油連城加油站,新北市土城區金城路三段283號(近金城路三段/延吉街口),新北市,土城區,24.9907974,121.4734543
新北市青山平面停車場站,新北市土城區青雲路351-1號旁(近青雲路/青仁路口),新北市,土城區,24.9781655,121.4590551
Gogoro 土城裕民店站,新北市土城區裕民路178號(近裕民路/學府路口),新北市,土城區,24.9851668,121.45271
新北市學成公園地下停車場B1F站,新北市土城區學成路81號(地下一樓機車停車場)(近學成社區公園),新北市,土城區,24.9879679,121.4511998
車太炫自助洗車金城學府店站,新北市土城區學府路二段與金城路一段交叉口(近學府路二段/金城路一段交叉口),新北市,土城區,24.9746994,121.4458401
華夏科技大學站,新北市中和區工專路111號(近華新街/工專路),新北市,中和區,24.9790066,121.5086225
7-ELEVEN 漳和店站,新北市中和區中山路2段131-6號(近中山路2段/中山路2段131巷口),新北市,中和區,25.0031312,121.5023999
宏佳騰中和中山店站,新北市中和區中山路二段33號(近瓦磘里兒童遊樂區廣場),新北市,中和區,25.0051576,121.5048655
中油積穗加油站,新北市中和區中山路二段550號(近中山路二段/中正路口),新北市,中和區,25.0053728,121.4838369
新北中和環球購物中心B3F站,新北市中和區中山路三段122號(地下三樓機車停車場)(近台北區監理所板橋監理站),新北市,中和區,25.0059803,121.476155
北基中和加油站,新北市中和區中山路三段53號(近環球中和店),新北市,中和區,25.0055327,121.476724
中油龍門加油加氣站,新北市中和區中正路808號(近中正路/建六路口),新北市,中和區,25.0025318,121.4851259
中和枋寮公有零售市場站,新北市中和區中和路74號(近中和國民小學),新北市,中和區,25.000504,121.501019
HiLife 北縣飛和店站,新北市中和區中板路27號(近中板路/中板路25巷口),新北市,中和區,25.0118568,121.4835927
Gogoro 中和中原服務中心站,新北市中和區中原街6號(近中原街/環河西路三段路口),新北市,中和區,25.008036,121.4915863
新北市民德立體停車場B1F站,新北市中和區民德路188號(地下一樓機車停車場)(近民德路/華順街口),新北市,中和區,24.9991675,121.4683045
新北市民樂停車場站,新北市中和區民樂路65號(近中和郵局),新北市,中和區,25.001353,121.4837297
俥亭中和景安站,新北市中和區安和路143號對面(近景安路/安和路口),新北市,中和區,24.9967032,121.5061935
新北市民享公園停車場站,新北市中和區自治街67號(近民享藝文特區),新北市,中和區,25.0035473,121.4756205
全聯中和南山店站,新北市中和區南山路146巷1號(近金山板南公園),新北市,中和區,24.9921306,121.5041694
Gogoro 中和員山門市站,新北市中和區員山路316號(近員山路/員山路314巷口),新北市,中和區,25.0029875,121.4813478
中油莒光路加油站,新北市中和區莒光路258號(近莒光路/壽德街口),新北市,中和區,24.994233,121.467818
中油華中橋加油站,新北市中和區連城路96號 (近連城路/景平路口),新北市,中和區,25.0001025,121.4964754
大潤發中和景平店B3F站,新北市中和區景平路182號(地下三樓機車停車場)(近景平路/景平路240巷口),新北市,中和區,24.9923577,121.5164681
PGO 中和景平店站,新北市中和區景平路634-12號(近景平路/泰和街46巷口),新北市,中和區,24.9998824,121.4984237
